provincia,departamento,sector,ambito,grado,0anos,1ano,2anos,3anos,4anos,5anos,6anos,7anos,8anos,9anos,10anos,11anos,12anos,13anos,14anos,15anos,16anos,17anos,18anos,19anos,20anos,21anos,22anos,23anos,24anos,25anos,26anos,27anos,28anos,29anos,menosde18anos,11anosymenos,6anosymas,18anosymas,25anosymas,30anosymas,de20a24anos,de25a29anos
Buenos Aires,9 DE JULIO,Estatal,Urbano,5°, , , , , , , , , , ,494,23,5, , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,6°, , , , , , , , , , , ,494,29,6, , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,7°, , , , , , , , , , , , ,513,70,12,1,13,1, , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,8°, , , , , , , , , , , , , ,437,87,21,8,22,1, , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,9°, , , , , , , , , , , , , , ,469,90,28,14,4, , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,Sala de 2, , ,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,Sala de 3, , , ,403, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,Sala de 4, , , , ,503, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,Sala de 5, , , , , ,516, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Estatal,Urbano,SNU, , , , , , , , , , , , , , , , , , ,68,163,174,95,95,90,62,37,50,52,20,4,1, , , , ,44, , 
Buenos Aires,9 DE JULIO,Privado,Urbano,1°, , , , , , ,155, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,10°, , , , , , , , , , , , , , , ,149,1, , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,11°, , , , , , , , , , , , , , , , ,143,5, , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,12°, , , , , , , , , , , , , , , , , ,142,4, , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,2°, , , , , , , ,169, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,3°, , , , , , , , ,163, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,4°, , , , , , , , , ,160, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,5°, , , , , , , , , , ,163,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,6°, , , , , , , , , , , ,168,2, , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,7°, , , , , , , , , , , , ,137, ,1, , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,8°, , , , , , , , , , , , , ,127,1,2, , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,9°, , , , , , , , , , , , , , ,131,6, , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,Sala de 3, , , ,149, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,Sala de 4, , , , ,138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,9 DE JULIO,Privado,Urbano,Sala de 5, , , , , ,156, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,1°, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,10°, , , , , , , , , , , , , , , ,32,3,4, , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,11°, , , , , , , , , , , , , , , , ,36,4,1,1, , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,12°, , , , , , , , , , , , , , , , , ,27,1, , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,2°, , , , , , , ,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,3°, , , , , , , , ,53,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,4°, , , , , , , , , ,43,3, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,5°, , , , , , , , , , ,55,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,6°, , , , , , , , , , , ,23,3, , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,7°, , , , , , , , , , , , ,26,1,1, , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,8°, , , , , , , , , , , , , ,33,2,1, , ,1, , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,9°, , , , , , , , , , , , , , ,39,3,4,1, , , , , , , , , , , , , , , , , , , , 
